,price,crime,nox,rooms,dist,radial,proptax,stratio,lowstat,lprice,lnox,lproptax,Unnamed: 12
41,26601,0.127,4.48,6.77,5.72,3.0,23.3,17.9,4.84,10.1887,1.499623,5.451038,
42,25301,0.141,4.48,6.17,5.72,3.0,23.3,17.9,5.81,10.1386,1.499623,5.451038,
43,24701,0.159,4.48,6.21,5.72,3.0,23.3,17.9,7.44,10.1146,1.499623,5.451038,
44,21200,0.12300000000000001,4.48,6.07,5.72,3.0,23.3,17.9,9.55,9.961757,1.499623,5.451038,
45,19300,0.171,4.48,5.68,5.1,3.0,23.3,17.9,10.21,9.867861,1.499623,5.451038,
46,20000,0.188,4.48,5.79,5.1,3.0,23.3,17.9,14.15,9.903487,1.499623,5.451038,
47,16600,0.22899999999999998,4.48,6.03,5.69,3.0,23.3,17.9,18.8,9.717158,1.499623,5.451038,
48,14400,,,5.4,5.87,,,17.9,,,1.499623,,
49,19400,0.22,4.48,5.6,6.09,3.0,23.3,17.9,16.2,9.873028999999999,1.499623,5.451038,
50,19700,0.08900000000000001,4.39,5.96,6.81,4.0,24.3,16.8,13.45,9.888374,1.4793290000000001,5.493062,
51,20500,0.043,4.39,6.11,6.81,4.0,24.3,16.8,9.43,9.928180000000001,1.4793290000000001,5.493062,
52,22620,0.054000000000000006,4.39,6.51,6.81,4.0,24.3,16.8,5.28,10.026589999999999,1.4793290000000001,5.493062,
53,23400,0.05,4.39,6.0,6.81,4.0,24.3,21.1,8.43,10.06049,1.4793290000000001,5.493062,
54,18900,0.013999999999999999,4.1,5.89,7.32,3.0,46.9,17.9,14.8,9.846917,1.410987,6.150603,
55,35401,0.013000000000000001,4.03,7.25,8.7,5.0,22.6,17.3,4.81,10.47449,1.393766,5.420535,
56,24701,0.021,4.1,6.38,9.19,2.0,31.3,15.1,5.77,10.1146,1.410987,5.7462029999999995,
57,32562,0.013999999999999999,4.11,6.82,8.32,5.0,25.6,19.7,3.95,10.3909,1.4134229999999999,5.545177,
58,23300,0.154,4.53,6.14,7.81,8.0,28.4,19.7,6.86,10.05621,1.510722,5.648974,
59,19600,0.10300000000000001,4.53,5.93,6.93,8.0,28.4,19.7,9.22,9.883285,1.510722,5.648974,
60,18700,0.149,4.53,5.74,6.76,8.0,28.4,19.7,13.15,9.836279,1.510722,5.648974,
61,16000,0.172,4.53,5.97,6.82,8.0,28.4,19.7,14.44,9.680344,1.510722,5.648974,
62,22199,0.11,4.53,6.46,7.23,8.0,28.4,19.7,6.73,10.0078,1.510722,5.648974,
63,24999,0.127,4.53,6.76,7.98,8.0,28.4,19.7,9.5,10.12659,1.510722,5.648974,
64,33001,0.02,4.16,7.1,9.22,3.0,21.6,18.6,8.05,10.40429,1.4255149999999999,5.375278,
65,23501,0.036000000000000004,3.98,6.29,6.61,4.0,33.7,16.1,4.67,10.0648,1.381282,5.820083,
66,19400,0.044000000000000004,3.98,5.79,6.61,4.0,33.7,16.1,10.24,9.873028999999999,1.381282,5.820083,
67,22000,0.057999999999999996,4.09,5.88,6.5,4.0,34.5,18.9,8.1,9.998797,1.4085450000000002,5.8435440000000005,
68,17400,,,5.59,6.5,,,18.9,,,1.4085450000000002,,
69,20900,0.128,4.09,5.88,6.5,4.0,34.5,18.9,8.79,9.947503999999999,1.4085450000000002,5.8435440000000005,
70,24200,0.08800000000000001,4.13,6.42,5.29,4.0,30.5,19.2,6.72,10.09411,1.418277,5.720312,
71,21700,0.159,4.13,5.96,5.29,4.0,30.5,19.2,9.88,9.985066999999999,1.418277,5.720312,
72,22800,0.092,4.13,6.06,5.29,4.0,30.5,19.2,5.52,10.03452,1.418277,5.720312,
73,23400,0.195,4.13,6.24,5.29,4.0,30.5,19.2,7.54,10.06049,1.418277,5.720312,
74,24101,0.079,4.37,6.27,4.25,5.0,39.8,18.7,6.78,10.090010000000001,1.4747629999999998,5.986452,
75,21400,0.095,4.37,6.29,4.5,5.0,39.8,18.7,8.94,9.971147,1.4747629999999998,5.986452,
76,20000,0.102,4.37,6.28,4.05,5.0,39.8,18.7,11.97,9.903487,1.4747629999999998,5.986452,
77,20800,0.087,4.37,6.14,4.09,5.0,39.8,18.7,10.27,9.942708,1.4747629999999998,5.986452,
78,21200,0.055999999999999994,4.37,6.23,5.01,5.0,39.8,18.7,12.34,9.961757,1.4747629999999998,5.986452,
79,20300,0.084,4.37,5.87,4.5,5.0,39.8,18.7,9.1,9.918376,1.4747629999999998,5.986452,
80,28001,0.040999999999999995,4.26,6.73,5.4,4.0,28.1,19.0,5.29,10.24,1.4492690000000001,5.638355000000001,
81,23899,0.045,4.26,6.62,5.4,4.0,28.1,19.0,7.22,10.08159,1.4492690000000001,5.638355000000001,
82,24800,0.037000000000000005,4.26,6.3,5.4,4.0,28.1,19.0,6.72,10.1186,1.4492690000000001,5.638355000000001,
83,22900,0.036000000000000004,4.26,6.17,5.4,4.0,28.1,19.0,7.51,10.038889999999999,1.4492690000000001,5.638355000000001,
84,23899,0.051,4.49,6.39,4.78,3.0,24.7,18.5,9.62,10.08159,1.501853,5.5093879999999995,
85,26601,0.057,4.49,6.63,4.44,3.0,24.7,18.5,6.53,10.1887,1.501853,5.5093879999999995,
86,22501,0.052000000000000005,4.49,6.01,4.43,3.0,24.7,18.5,12.86,10.02131,1.501853,5.5093879999999995,
87,22199,0.07200000000000001,4.49,6.12,3.75,3.0,24.7,18.5,8.44,10.0078,1.501853,5.5093879999999995,
88,23600,0.057,4.89,7.01,3.42,2.0,27.0,17.8,5.5,10.068999999999999,1.587192,5.598422,
89,28701,0.053,4.89,7.08,3.41,2.0,27.0,17.8,5.7,10.26469,1.587192,5.598422,
90,22600,0.047,4.89,6.42,3.09,2.0,27.0,17.8,8.81,10.02571,1.587192,5.598422,
91,22000,0.039,4.89,6.4,3.09,2.0,27.0,17.8,8.2,9.998797,1.587192,5.598422,
92,22900,0.042,4.64,6.44,3.67,4.0,27.0,18.2,8.16,10.038889999999999,1.534714,5.598422,
93,24999,0.028999999999999998,4.64,6.21,3.67,4.0,27.0,18.2,6.21,10.12659,1.534714,5.598422,
94,20600,0.043,4.64,6.25,3.61,4.0,27.0,18.2,10.59,9.933046000000001,1.534714,5.598422,
95,28399,0.122,4.45,6.62,3.5,2.0,27.6,18.0,6.65,10.25411,1.492904,5.620401,
96,21400,0.115,4.45,6.16,3.5,2.0,27.6,18.0,11.34,9.971147,1.492904,5.620401,
97,38700,0.121,4.45,8.07,3.5,2.0,27.6,18.0,4.21,10.56359,1.492904,5.620401,
98,43800,0.08199999999999999,4.45,7.82,3.5,2.0,27.6,18.0,3.57,10.687389999999999,1.492904,5.620401,
99,33200,0.069,4.45,7.42,3.5,2.0,27.6,18.0,6.19,10.41031,1.492904,5.620401,
100,27499,0.149,5.2,6.73,2.78,5.0,38.4,20.9,9.42,10.2219,1.648659,5.950643,
101,26500,0.114,5.2,6.78,2.86,5.0,38.4,20.9,7.67,10.1849,1.648659,5.950643,
102,18600,0.22899999999999998,5.2,6.4,2.71,5.0,38.4,20.9,10.63,9.830916,1.648659,5.950643,
103,19300,0.212,5.2,6.14,2.71,5.0,38.4,20.9,13.44,9.867861,1.648659,5.950643,
104,20100,0.14,5.2,6.17,2.42,5.0,38.4,20.9,12.33,9.908475,1.648659,5.950643,
105,19500,0.133,5.2,5.85,2.11,5.0,38.4,20.9,16.47,9.878169999999999,1.648659,5.950643,
106,19500,0.171,5.2,5.84,2.21,5.0,38.4,20.9,18.66,9.878169999999999,1.648659,5.950643,
107,20400,0.131,5.2,6.13,2.12,5.0,38.4,20.9,14.09,9.92329,1.648659,5.950643,
108,19800,0.128,5.2,6.47,2.43,5.0,38.4,20.9,12.27,9.893436999999999,1.648659,5.950643,
109,19400,0.264,5.2,6.23,2.55,5.0,38.4,20.9,15.55,9.873028999999999,1.648659,5.950643,
110,21700,0.10800000000000001,5.47,6.19,2.78,5.0,38.4,20.9,13.0,9.985066999999999,1.699279,5.950643,
111,22800,0.10099999999999999,5.47,6.71,2.68,6.0,43.2,17.8,10.16,10.03452,1.699279,6.0684260000000005,
112,18800,0.12300000000000001,5.47,5.91,2.35,6.0,43.2,17.8,16.21,9.841612,1.699279,6.0684260000000005,
113,18700,0.222,5.47,6.09,2.63,6.0,43.2,17.8,17.09,9.836279,1.699279,6.0684260000000005,
114,18500,0.142,5.47,6.25,2.26,6.0,43.2,17.8,10.45,9.825526,1.699279,6.0684260000000005,
115,18300,0.171,5.47,5.93,2.46,6.0,43.2,17.8,15.76,9.814656,1.699279,6.0684260000000005,
116,21200,0.132,5.47,6.18,2.73,6.0,43.2,17.8,12.04,9.961757,1.699279,6.0684260000000005,
117,19200,0.151,5.47,6.02,2.75,6.0,43.2,17.8,10.3,9.862665,1.699279,6.0684260000000005,
118,20400,0.131,5.47,5.87,2.48,6.0,43.2,17.8,15.37,9.92329,1.699279,6.0684260000000005,
119,19300,0.145,5.81,5.73,2.76,6.0,43.2,17.8,13.61,9.867861,1.759581,6.0684260000000005,
120,22000,0.069,5.81,5.87,2.26,2.0,18.8,19.1,39.07,9.998797,1.759581,5.236442,
121,20300,0.07200000000000001,5.81,6.0,2.2,2.0,18.8,19.1,14.27,9.918376,1.759581,5.236442,
122,20500,0.09300000000000001,5.81,5.96,2.09,2.0,18.8,19.1,17.93,9.928180000000001,1.759581,5.236442,
123,17300,0.15,5.81,5.86,1.94,2.0,18.8,19.1,25.41,9.758462,1.759581,5.236442,
124,18800,0.098,5.81,5.88,2.01,2.0,18.8,19.1,17.58,9.841612,1.759581,5.236442,
125,21400,0.16899999999999998,5.81,5.99,1.99,2.0,18.8,19.1,14.81,9.971147,1.759581,5.236442,
126,15700,0.387,6.24,5.61,1.76,2.0,18.8,19.1,27.26,9.661416000000001,1.8309799999999998,5.236442,
127,16200,0.259,6.24,5.69,1.79,4.0,43.7,21.2,17.19,9.692766,1.8309799999999998,6.0799330000000005,
128,18000,0.325,6.24,6.43,1.81,4.0,43.7,21.2,15.39,9.798127000000001,1.8309799999999998,6.0799330000000005,
129,14300,0.8809999999999999,6.24,5.64,1.98,4.0,43.7,21.2,18.34,9.568014999999999,1.8309799999999998,6.0799330000000005,
130,19200,0.34,6.24,6.46,2.12,4.0,43.7,21.2,12.6,9.862665,1.8309799999999998,6.0799330000000005,
131,19600,1.193,6.24,6.33,2.27,4.0,43.7,21.2,12.26,9.883285,1.8309799999999998,6.0799330000000005,
132,23001,0.59,6.24,6.37,2.33,4.0,43.7,21.2,11.12,10.043289999999999,1.8309799999999998,6.0799330000000005,
133,18400,0.33,6.24,5.82,2.47,4.0,43.7,21.2,15.03,9.820106,1.8309799999999998,6.0799330000000005,
134,15600,0.976,6.24,5.76,2.35,4.0,43.7,21.2,17.31,9.655026,1.8309799999999998,6.0799330000000005,
135,18100,0.5579999999999999,6.24,6.33,2.11,4.0,43.7,21.2,16.96,9.803666999999999,1.8309799999999998,6.0799330000000005,
136,17400,0.32299999999999995,6.24,5.94,1.97,4.0,43.7,21.2,16.9,9.764225999999999,1.8309799999999998,6.0799330000000005,
137,17100,0.35200000000000004,6.24,6.45,1.85,4.0,43.7,21.2,14.59,9.746834,1.8309799999999998,6.0799330000000005,
138,13300,0.25,6.24,5.86,1.67,4.0,43.7,21.2,21.32,9.495519999999999,1.8309799999999998,6.0799330000000005,
139,17800,0.545,6.24,6.15,1.67,4.0,43.7,21.2,18.46,9.786954,1.8309799999999998,6.0799330000000005,
140,14000,0.29100000000000004,6.24,6.17,1.61,4.0,43.7,21.2,24.16,9.546813,1.8309799999999998,6.0799330000000005,
141,14400,1.629,6.24,5.02,1.44,4.0,43.7,21.2,34.41,9.574983999999999,1.8309799999999998,6.0799330000000005,
142,13400,3.321,8.71,5.4,1.32,5.0,40.3,14.7,26.82,9.50301,2.164472,5.998937000000001,
143,15600,4.0969999999999995,8.71,5.47,1.41,5.0,40.3,14.7,26.42,9.655026,2.164472,5.998937000000001,
144,11800,2.78,8.71,4.9,1.35,5.0,40.3,14.7,29.29,9.375853999999999,2.164472,5.998937000000001,
145,13800,2.379,8.71,6.13,1.42,5.0,40.3,14.7,27.8,9.532424,2.164472,5.998937000000001,
146,15600,2.155,8.71,5.63,1.52,5.0,40.3,14.7,16.65,9.655026,2.164472,5.998937000000001,
147,14600,2.369,8.71,4.93,1.46,5.0,40.3,14.7,29.53,9.588777,2.164472,5.998937000000001,
148,17794,2.331,8.71,5.19,1.53,5.0,40.3,14.7,28.32,9.786616,2.164472,5.998937000000001,
149,15400,2.734,8.71,5.6,1.53,5.0,40.3,14.7,21.45,9.642123,2.164472,5.998937000000001,
150,21500,1.6569999999999998,8.71,6.12,1.62,5.0,40.3,14.7,14.1,9.975808,2.164472,5.998937000000001,
151,19600,1.496,8.71,5.4,1.59,5.0,40.3,14.7,13.28,9.883285,2.164472,5.998937000000001,
152,15300,1.127,8.71,5.01,1.61,5.0,40.3,14.7,12.12,9.635608,2.164472,5.998937000000001,
153,19400,3.1489999999999996,8.71,5.71,1.62,5.0,40.3,14.7,15.79,9.873028999999999,2.164472,5.998937000000001,
154,17000,1.4140000000000001,8.71,6.13,1.75,5.0,40.3,14.7,15.12,9.740969,2.164472,5.998937000000001,
155,15600,3.535,8.71,6.15,1.75,5.0,40.3,14.7,15.02,9.655026,2.164472,5.998937000000001,
156,13100,2.447,8.71,5.27,1.74,5.0,40.3,14.7,16.14,9.480367999999999,2.164472,5.998937000000001,
157,41299,1.224,6.05,6.94,1.88,5.0,40.3,14.7,4.59,10.628589999999999,1.8000580000000002,5.998937000000001,
158,24299,1.3430000000000002,6.05,6.07,1.76,5.0,40.3,14.7,6.43,10.098189999999999,1.8000580000000002,5.998937000000001,
159,23300,1.425,8.71,6.51,1.77,5.0,40.3,14.7,7.39,10.05621,2.164472,5.998937000000001,
160,27000,1.273,6.05,6.25,1.8,5.0,40.3,14.7,5.5,10.20359,1.8000580000000002,5.998937000000001,
161,50001,1.463,6.05,7.49,1.97,5.0,40.3,14.7,1.73,10.8198,1.8000580000000002,5.998937000000001,
162,50001,1.834,6.05,7.8,2.04,5.0,40.3,14.7,1.92,10.8198,1.8000580000000002,5.998937000000001,
163,50001,1.5190000000000001,6.05,8.37,2.16,5.0,40.3,14.7,3.32,10.8198,1.8000580000000002,5.998937000000001,
164,22700,2.242,6.05,5.85,2.42,5.0,40.3,14.7,11.64,10.03012,1.8000580000000002,5.998937000000001,
165,24999,2.924,6.05,6.1,2.28,5.0,40.3,14.7,9.81,10.12659,1.8000580000000002,5.998937000000001,
166,50001,2.01,6.05,7.93,2.05,5.0,40.3,14.7,3.7,10.8198,1.8000580000000002,5.998937000000001,
167,23799,1.8,6.05,5.88,2.43,5.0,40.3,14.7,12.14,10.0774,1.8000580000000002,5.998937000000001,
168,23799,2.3,6.05,6.32,2.1,5.0,40.3,14.7,11.09,10.0774,1.8000580000000002,5.998937000000001,
169,22299,2.45,6.05,6.4,2.26,5.0,40.3,14.7,11.32,10.0123,1.8000580000000002,5.998937000000001,
170,17400,1.207,6.05,5.87,2.43,5.0,40.3,14.7,14.43,9.764225999999999,1.8000580000000002,5.998937000000001,
171,19100,2.314,6.05,5.88,2.39,5.0,40.3,14.7,12.03,9.857444000000001,1.8000580000000002,5.998937000000001,
172,23100,0.139,5.1,5.57,2.6,5.0,29.6,16.6,14.69,10.04759,1.629241,5.69036,
173,23600,0.092,5.1,6.42,2.65,5.0,29.6,16.6,9.04,10.068999999999999,1.629241,5.69036,
174,22600,0.084,5.1,5.86,2.7,5.0,29.6,16.6,9.64,10.02571,1.629241,5.69036,
175,29401,0.067,5.1,6.55,3.13,5.0,29.6,16.6,5.33,10.288780000000001,1.629241,5.69036,
176,23200,0.07,5.1,6.02,3.55,5.0,29.6,16.6,10.11,10.051910000000001,1.629241,5.69036,
177,24600,0.054000000000000006,5.1,6.31,3.3,5.0,29.6,16.6,6.29,10.1105,1.629241,5.69036,
178,29900,0.066,5.1,6.86,2.91,5.0,29.6,16.6,6.92,10.30561,1.629241,5.69036,
179,37201,0.057999999999999996,4.88,6.98,2.83,3.0,19.3,17.8,5.04,10.52409,1.585145,5.26269,
180,39799,0.066,4.88,7.76,2.74,3.0,19.3,17.8,7.56,10.5916,1.585145,5.26269,
181,36199,0.069,4.88,6.14,2.6,3.0,19.3,17.8,9.45,10.496789999999999,1.585145,5.26269,
182,37900,0.091,4.88,7.15,2.7,3.0,19.3,17.8,4.82,10.542710000000001,1.585145,5.26269,
183,32500,0.1,4.88,6.56,2.85,3.0,19.3,17.8,5.68,10.389000000000001,1.585145,5.26269,
184,26399,0.083,4.88,5.6,2.99,3.0,19.3,17.8,13.98,10.18108,1.585145,5.26269,
185,29599,0.06,4.88,6.15,3.28,3.0,19.3,17.8,13.15,10.2955,1.585145,5.26269,
186,50001,0.055999999999999994,4.88,7.83,3.2,3.0,19.3,17.8,4.45,10.8198,1.585145,5.26269,
187,32000,0.079,4.37,6.78,3.79,5.0,39.8,15.2,6.68,10.373489999999999,1.4747629999999998,5.986452,
188,29801,0.126,4.37,6.56,4.57,5.0,39.8,15.2,4.56,10.3023,1.4747629999999998,5.986452,
189,34899,0.084,4.37,7.18,4.57,5.0,39.8,15.2,5.39,10.46021,1.4747629999999998,5.986452,
190,37001,0.091,4.37,6.95,6.48,5.0,39.8,15.2,5.1,10.5187,1.4747629999999998,5.986452,
191,30501,0.069,4.37,6.74,6.48,5.0,39.8,15.2,4.69,10.325510000000001,1.4747629999999998,5.986452,
192,36399,0.087,4.37,7.18,6.48,5.0,39.8,15.2,2.87,10.5023,1.4747629999999998,5.986452,
193,31101,0.022000000000000002,4.01,6.8,6.22,1.0,26.5,15.6,5.03,10.345,1.3887909999999999,5.5797300000000005,
194,29100,0.013999999999999999,4.01,6.6,6.22,1.0,26.5,15.6,4.38,10.27849,1.3887909999999999,5.5797300000000005,
195,50001,0.013999999999999999,4.22,7.87,5.65,4.0,25.5,14.4,2.97,10.8198,1.439835,5.541264,
196,33300,0.04,4.04,7.29,7.31,2.0,32.9,12.6,4.08,10.413310000000001,1.3962450000000002,5.796058,
197,30300,0.047,4.04,7.11,7.31,2.0,32.9,12.6,8.61,10.3189,1.3962450000000002,5.796058,
198,34600,0.038,4.04,7.27,7.31,2.0,32.9,12.6,6.62,10.45161,1.3962450000000002,5.796058,
199,34899,0.032,4.03,6.97,7.65,3.0,40.2,17.0,4.56,10.46021,1.393766,5.996452,
200,32899,0.018000000000000002,4.03,7.13,7.65,3.0,40.2,17.0,4.45,10.4012,1.393766,5.996452,
201,24101,0.034,4.15,6.16,6.27,2.0,34.8,14.7,7.43,10.090010000000001,1.423108,5.852201999999999,
202,42302,0.022000000000000002,4.15,7.61,6.27,2.0,34.8,14.7,3.11,10.65259,1.423108,5.852201999999999,
203,48499,0.035,4.16,7.85,5.12,4.0,22.4,14.7,3.81,10.7893,1.4255149999999999,5.411646,
204,50001,0.02,4.16,8.03,5.12,4.0,22.4,14.7,2.88,10.8198,1.4255149999999999,5.411646,
205,22600,0.136,4.89,5.89,3.95,4.0,27.7,18.6,10.87,10.02571,1.587192,5.624018,
206,24399,0.23,4.89,6.33,4.35,4.0,27.7,18.6,10.97,10.1023,1.587192,5.624018,
207,22501,0.252,4.89,5.78,4.35,4.0,27.7,18.6,18.06,10.02131,1.587192,5.624018,
208,24399,0.136,4.89,6.06,4.24,4.0,27.7,18.6,14.66,10.1023,1.587192,5.624018,
209,20000,0.436,4.89,5.34,3.87,4.0,27.7,18.6,23.09,9.903487,1.587192,5.624018,
210,21700,0.174,4.89,5.96,3.88,4.0,27.7,18.6,17.27,9.985066999999999,1.587192,5.624018,
211,19300,0.376,4.89,5.4,3.67,4.0,27.7,18.6,23.98,9.867861,1.587192,5.624018,
212,22400,0.217,4.89,5.81,3.65,4.0,27.7,18.6,16.03,10.01682,1.587192,5.624018,
213,28099,0.141,4.89,6.37,3.95,4.0,27.7,18.6,9.38,10.24349,1.587192,5.624018,
214,23699,0.29,4.89,5.41,3.59,4.0,27.7,18.6,29.55,10.073189999999999,1.587192,5.624018,
215,24999,0.198,4.89,6.18,3.95,4.0,27.7,18.6,9.47,10.12659,1.587192,5.624018,
216,23300,0.046,5.5,5.89,3.11,5.0,27.6,16.4,13.51,10.05621,1.704748,5.620401,
217,28701,0.07,5.5,6.64,3.42,5.0,27.6,16.4,9.69,10.26469,1.704748,5.620401,
218,21500,0.111,5.5,5.95,2.89,5.0,27.6,16.4,17.92,9.975808,1.704748,5.620401,
219,23001,0.114,5.5,6.37,3.36,5.0,27.6,16.4,10.5,10.043289999999999,1.704748,5.620401,
220,26699,0.358,5.07,6.95,2.86,8.0,30.7,16.4,9.71,10.19238,1.623341,5.726848,
221,21700,0.408,5.07,6.16,3.05,8.0,30.7,17.4,21.46,9.985066999999999,1.623341,5.726848,
222,27499,0.624,5.07,6.88,3.27,8.0,30.7,17.4,9.93,10.2219,1.623341,5.726848,
223,30101,0.615,5.07,6.62,3.27,8.0,30.7,17.4,7.6,10.31231,1.623341,5.726848,
224,44802,0.315,5.04,8.27,2.89,8.0,30.7,17.4,4.14,10.71001,1.617406,5.726848,
225,50001,0.523,5.04,8.72,2.89,8.0,30.7,17.4,4.92,10.8198,1.617406,5.726848,
226,37602,0.382,5.04,8.04,3.22,8.0,30.7,17.4,3.13,10.53481,1.617406,5.726848,
227,31600,0.41200000000000003,5.04,7.16,3.22,8.0,30.7,17.4,6.36,10.36091,1.617406,5.726848,
228,46700,0.298,5.04,7.69,3.38,8.0,30.7,17.4,3.92,10.7515,1.617406,5.726848,
229,31499,0.442,5.04,6.55,3.38,8.0,30.7,17.4,3.76,10.35771,1.617406,5.726848,
230,24299,0.537,5.04,5.98,3.67,8.0,30.7,17.4,11.65,10.098189999999999,1.617406,5.726848,
231,31701,0.46299999999999997,5.04,7.41,3.67,8.0,30.7,17.4,5.25,10.3641,1.617406,5.726848,
232,41702,0.575,5.07,8.34,3.84,8.0,30.7,17.4,2.47,10.6383,1.623341,5.726848,
233,48301,0.331,5.07,8.25,3.65,8.0,30.7,17.4,3.95,10.785210000000001,1.623341,5.726848,
234,29001,0.44799999999999995,5.07,6.73,3.65,8.0,30.7,17.4,8.05,10.275089999999999,1.623341,5.726848,
235,24000,0.33,5.07,6.09,3.65,8.0,30.7,17.4,10.88,10.08581,1.623341,5.726848,
236,25099,0.521,5.07,6.63,4.15,8.0,30.7,17.4,9.54,10.13058,1.623341,5.726848,
237,31499,0.512,5.07,7.36,4.15,8.0,30.7,17.4,4.73,10.35771,1.623341,5.726848,
238,23699,0.08199999999999999,4.28,6.48,6.19,6.0,30.0,16.6,6.36,10.073189999999999,1.453953,5.7037830000000005,
239,23300,0.09300000000000001,4.28,6.61,6.19,6.0,30.0,16.6,7.37,10.05621,1.453953,5.7037830000000005,
240,22000,0.113,4.28,6.9,6.34,6.0,30.0,16.6,11.38,9.998797,1.453953,5.7037830000000005,
241,20100,0.106,4.28,6.09,6.34,6.0,30.0,16.6,12.4,9.908475,1.453953,5.7037830000000005,
